Mods count: 288
 
jar name                                                                            | mod id (isMCreator)                                     | mixin configs
fmlloader-1.20.1-47.4.0.jar (modloader)                                             | forge                                                   | 
[1.20.1] SecurityCraft v1.9.12.jar                                                  | securitycraft                                           | securitycraft.mixins.json
access_denied-6.2.1.jar                                                             | access_denied                                           | 
Ad-Astra-Giselle-Addon-forge-1.20.1-6.21.jar                                        | ad_astra_giselle_addon                                  | ad_astra_giselle_addon.mixin.refmap.json, ad_astra_giselle_addon.mixin.client.json, ad_astra_giselle_addon.mixin.common.json, ad_astra_giselle_addon.mixin.forge.client.json, ad_astra_giselle_addon.mixin.forge.common.json
ad_astra-forge-1.20.1-1.15.20.jar                                                   | ad_astra                                                | adastra.mixins.json, adastra-common.mixins.json
    /META-INF/jars/jlayer-1.0.1.jar                                                 |                                                         | 
ad_astra_more_structures-1.0.0.jar                                                  | ad_astra_more_structures                                | 
adastraextra-forge-1.20.1-1.2.3.jar                                                 | adastraextra                                            | 
addonslib-1.20.1-1.7.jar                                                            | addonslib                                               | 
AdvancedAE-1.3.5-1.20.1.jar                                                         | advanced_ae                                             | mixins.aae.json, mixins.aae.refmap.json
    /META-INF/jarjar/ae2addonlib-1.0.4-1.20.1.jar                                   | ae2addonlib                                             | 
advancednetherite-forge-2.1.3-1.20.1.jar                                            | advancednetherite                                       | 
AdvancementPlaques-1.20.1-forge-1.6.7.jar                                           | advancementplaques                                      | 
AI-Improvements-1.20-0.5.2.jar                                                      | aiimprovements                                          | 
alexscaves-2.0.2.jar                                                                | alexscaves                                              | citadel.mixins.json, alexscaves.mixins.json
alltheleaks-1.1.1+1.20.1-forge.jar                                                  | alltheleaks                                             | alltheleaks.mixins.json
alternate_current-mc1.20-1.7.0.jar                                                  | alternate_current                                       | alternate-current.mixins.json
amendments-1.20-2.2.5.jar                                                           | amendments                                              | amendments-common.mixins.json, amendments.mixins.json
appleskin-forge-mc1.20.1-2.5.1.jar                                                  | appleskin                                               | 
Applied-Mekanistics-1.4.3.jar                                                       | appmek                                                  | 
appliedenergistics2-forge-15.4.10.jar                                               | ae2                                                     | ae2.mixins.refmap.json, ae2.mixins.json
Aquaculture-1.20.1-2.5.3.jar                                                        | aquaculture                                             | 
aquaculture_delight_1.0.0_forge_1.20.1.jar                                          | aquaculturedelight (MCreator mod)                       | 
architectury-9.2.14-forge.jar                                                       | architectury                                            | architectury.mixins.json, architectury-common.mixins.json
artifacts-forge-9.5.19.jar                                                          | artifacts                                               | mixins.artifacts.forge.json, mixins.artifacts.common.json
    /META-INF/jars/expandability-forge-9.0.4.jar                                    | expandability                                           | expandability.mixins.json, expandability-common.mixins.json
athena-forge-1.20.1-3.1.2.jar                                                       | athena                                                  | athena-forge.mixins.json, athena.mixins.json
badpackets-forge-0.4.3.jar                                                          | badpackets                                              | badpackets.mixins.json
